Date, total
1/01/17,4.9
1/02/17,4.9
1/03/17,4.9
1/04/17,4.8
1/05/17,4.8
1/06/17,4.8
1/07/17,4.7
1/08/17,4.7
1/09/17,4.7
1/10/17,4.5
1/11/17,4.5
1/12/17,4.5
1/01/18,4.3
1/02/18,4.3
1/03/18,4.3
1/04/18,4.5
1/05/18,4.5
1/06/18,4.5
1/07/18,4
1/08/18,4
1/09/18,4
1/10/18,4.3
1/11/18,4.3
1/12/18,4.3
1/01/19,4.1
1/02/19,4.1
1/03/19,4.1
1/04/19,4
1/05/19,4
1/06/19,4
1/07/19,4.1
1/08/19,4.1
1/09/19,4.1
1/10/19,4.1
1/11/19,4.1
1/12/19,4.1
1/01/20,4.2
1/02/20,4.2
1/03/20,4.2
1/04/20,4
1/05/20,4
1/06/20,4
1/07/20,4
1/08/20,4
