"","Alert.Level","Event.Type","No","Location"
"1",2,"Aggravated Sexual Assault",1,"Auckland"
"2",2,"Non-Aggravated Sexual Assault",1,"Auckland"
"3",2,"Non-Aggravated Sexual Assault",6,"Auckland"
"4",2,"Assault not further defined",23,"Auckland"
"5",2,"Assault not further defined",1,"Auckland"
"6",2,"Common Assault",5,"Auckland"
"7",2,"Assault not further defined",1,"Auckland"
"8",2,"Common Assault",5,"Auckland"
"9",2,"Non-Aggravated Sexual Assault",1,"Bay Of Plenty"
"10",2,"Non-Aggravated Sexual Assault",1,"Bay Of Plenty"
"11",2,"Assault not further defined",2,"Bay Of Plenty"
"12",2,"Assault not further defined",8,"Bay Of Plenty"
"13",2,"Common Assault",2,"Bay Of Plenty"
"14",2,"Assault not further defined",4,"Bay Of Plenty"
"15",2,"Assault not further defined",7,"Bay Of Plenty"
"16",2,"Common Assault",4,"Bay Of Plenty"
"17",2,"Assault not further defined",13,"Bay Of Plenty"
"18",2,"Common Assault",6,"Bay Of Plenty"
"19",2,"Aggravated Sexual Assault",1,"Cantebury"
"20",2,"Non-Aggravated Sexual Assault",2,"Cantebury"
"21",2,"Aggravated Sexual Assault",1,"Cantebury"
"22",2,"Assault not further defined",1,"Cantebury"
"23",2,"Assault not further defined",2,"Cantebury"
"24",2,"Common Assault",42,"Cantebury"
"25",2,"Common Assault",6,"Cantebury"
"26",2,"Assault not further defined",1,"Cantebury"
"27",2,"Assault not further defined",1,"Cantebury"
"28",2,"Common Assault",5,"Cantebury"
"29",2,"Assault not further defined",2,"Cantebury"
"30",2,"Aggravated Sexual Assault",2,"West Coast/ Upper-Central North"
"31",2,"Aggravated Sexual Assault",1,"West Coast/ Upper-Central North"
"32",2,"Non-Aggravated Sexual Assault",1,"West Coast/ Upper-Central North"
"33",2,"Non-Aggravated Sexual Assault",1,"West Coast/ Upper-Central North"
"34",2,"Aggravated Sexual Assault",1,"West Coast/ Upper-Central North"
"35",2,"Non-Aggravated Sexual Assault",1,"West Coast/ Upper-Central North"
"36",2,"Non-Aggravated Sexual Assault",2,"West Coast/ Upper-Central North"
"37",2,"Assault not further defined",2,"West Coast/ Upper-Central North"
"38",2,"Assault not further defined",1,"West Coast/ Upper-Central North"
"39",2,"Assault not further defined",2,"West Coast/ Upper-Central North"
"40",2,"Assault not further defined",13,"West Coast/ Upper-Central North"
"41",2,"Common Assault",7,"West Coast/ Upper-Central North"
"42",2,"Common Assault",1,"West Coast/ Upper-Central North"
"43",2,"Assault not further defined",1,"West Coast/ Upper-Central North"
"44",2,"Assault not further defined",2,"West Coast/ Upper-Central North"
"45",2,"Assault not further defined",10,"West Coast/ Upper-Central North"
"46",2,"Common Assault",2,"West Coast/ Upper-Central North"
"47",2,"Common Assault",1,"West Coast/ Upper-Central North"
"48",2,"Common Assault",5,"West Coast/ Upper-Central North"
"49",2,"Assault not further defined",1,"West Coast/ Upper-Central North"
"50",2,"Assault not further defined",4,"West Coast/ Upper-Central North"
"51",2,"Non-Aggravated Sexual Assault",2,"Auckland"
"52",2,"Aggravated Sexual Assault",2,"Auckland"
"53",2,"Aggravated Sexual Assault",1,"Auckland"
"54",2,"Assault not further defined",16,"Auckland"
"55",2,"Assault not further defined",3,"Auckland"
"56",2,"Common Assault",17,"Auckland"
"57",2,"Assault not further defined",15,"Auckland"
"58",2,"Common Assault",15,"Auckland"
"59",2,"Aggravated Sexual Assault",1,"Hawkes Bay/ Gisborne"
"60",2,"Assault not further defined",8,"Hawkes Bay/ Gisborne"
"61",2,"Assault not further defined",3,"Hawkes Bay/ Gisborne"
"62",2,"Common Assault",1,"Hawkes Bay/ Gisborne"
"63",2,"Assault not further defined",2,"Hawkes Bay/ Gisborne"
"64",2,"Assault not further defined",7,"Hawkes Bay/ Gisborne"
"65",2,"Common Assault",12,"Hawkes Bay/ Gisborne"
"66",2,"Non-Aggravated Sexual Assault",1,"Northland"
"67",2,"Aggravated Sexual Assault",1,"Northland"
"68",2,"Non-Aggravated Sexual Assault",4,"Northland"
"69",2,"Assault not further defined",1,"Northland"
"70",2,"Assault not further defined",1,"Northland"
"71",2,"Assault not further defined",1,"Northland"
"72",2,"Common Assault",5,"Northland"
"73",2,"Assault not further defined",2,"Northland"
"74",2,"Common Assault",1,"Northland"
"75",2,"Aggravated Sexual Assault",1,"Southland/ Otago"
"76",2,"Non-Aggravated Sexual Assault",1,"Southland/ Otago"
"77",2,"Aggravated Sexual Assault",2,"Southland/ Otago"
"78",2,"Assault not further defined",7,"Southland/ Otago"
"79",2,"Assault not further defined",1,"Southland/ Otago"
"80",2,"Common Assault",4,"Southland/ Otago"
"81",2,"Assault not further defined",2,"Southland/ Otago"
"82",2,"Common Assault",3,"Southland/ Otago"
"83",2,"Assault not further defined",3,"Southland/ Otago"
"84",2,"Assault not further defined",1,"Southland/ Otago"
"85",2,"Aggravated Sexual Assault",1,"Tasman/ South-West Coast"
"86",2,"Assault not further defined",6,"Tasman/ South-West Coast"
"87",2,"Common Assault",6,"Tasman/ South-West Coast"
"88",2,"Assault not further defined",4,"Tasman/ South-West Coast"
"89",2,"Non-Aggravated Sexual Assault",2,"Waikato"
"90",2,"Non-Aggravated Sexual Assault",2,"Waikato"
"91",2,"Assault not further defined",23,"Waikato"
"92",2,"Common Assault",3,"Waikato"
"93",2,"Assault not further defined",1,"Waikato"
"94",2,"Assault not further defined",1,"Waikato"
"95",2,"Common Assault",1,"Waikato"
"96",2,"Common Assault",4,"Waikato"
"97",2,"Assault not further defined",1,"Waikato"
"98",2,"Assault not further defined",1,"Waikato"
"99",2,"Common Assault",1,"Waikato"
"100",2,"Aggravated Sexual Assault",1,"Auckland"
"101",2,"Non-Aggravated Sexual Assault",1,"Auckland"
"102",2,"Assault not further defined",2,"Auckland"
"103",2,"Common Assault",2,"Auckland"
"104",2,"Assault not further defined",8,"Auckland"
"105",2,"Assault not further defined",5,"Auckland"
"106",2,"Common Assault",4,"Auckland"
"107",2,"Common Assault",4,"Auckland"
"108",2,"Assault not further defined",3,"Auckland"
"109",2,"Common Assault",3,"Auckland"
"110",2,"Assault not further defined",10,"Auckland"
"111",2,"Common Assault",3,"Auckland"
"112",2,"Non-Aggravated Sexual Assault",2,"Wellington/ Lower-Central North"
"113",2,"Aggravated Sexual Assault",1,"Wellington/ Lower-Central North"
"114",2,"Non-Aggravated Sexual Assault",1,"Wellington/ Lower-Central North"
