"","X","Table.1","ANZSOC.Division","month","year","ANZSOC.Group","ANZSOC.Subdivision","Area.Unit","Location.Type","Locn.Type.Division","Occurrence.Day.Of.Week","Occurrence.Hour.Of.Day","Territorial.Authority","Weapon","Number.of.Records","Victimisations"
"1",1,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Paraparaumu Beach South.",".","Community Location","Friday",0,"Kapiti Coast District.","None",1,1
"2",2,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Auckland Harbourside.",".","Community Location","Friday",2,"Auckland.","None",1,1
"3",3,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Auckland Harbourside.",".","Community Location","Friday",5,"Auckland.","None",1,1
"4",4,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Mt Eden North.",".","Community Location","Friday",9,"Auckland.","None",1,1
"5",5,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Willis Street-Cambridge Terrace.",".","Community Location","Friday",10,"Wellington City.","None",1,1
"6",6,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Whangarei Central.",".","Community Location","Friday",13,"Whangarei District.","None",1,1
"7",7,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Sydenham.",".","Community Location","Friday",15,"Christchurch City.","None",1,2
"8",8,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Three Kings.",".","Community Location","Friday",16,"Auckland.","None",1,1
"9",9,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Mangere East.",".","Community Location","Friday",17,"Auckland.","None",1,1
"10",10,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Waiheke Island.",".","Community Location","Friday",19,"Auckland.","None",1,1
"11",11,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Kaitake.",".","Community Location","Friday",19,"New Plymouth District.","None",1,1
"12",12,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Rehia-Oneriri.",".","Community Location","Friday",20,"Kaipara District.","None",1,1
"13",13,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Northcote.",".","Community Location","Friday",21,"Christchurch City.","None",1,1
"14",14,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Whangarei Central.",".","Community Location","Friday",22,"Whangarei District.","None",1,1
"15",15,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Rosehill.",".","Community Location","Friday",15,"Auckland.","Not Stated",1,1
"16",16,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Balmoral.",".","Community Location","Friday",19,"Auckland.","Not Stated",1,1
"17",17,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Wilford.",".","Community Location","Friday",15,"Lower Hutt City.","Other Weapon",1,1
"18",18,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Raglan.",".","Community Location","Friday",21,"Waikato District.","Blunt Instrument N.F.D.",1,1
"19",19,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Palm Springs.",".","Community Location","Friday",11,"Tauranga City.","None",1,1
"20",20,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Kaitake.",".","Community Location","Friday",19,"New Plymouth District.","None",1,1
"21",21,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Fairview-Scarborough.",".","Community Location","Friday",23,"Timaru District.","None",1,1
"22",22,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Hillpark.",".","Community Location","Friday",8,"Auckland.","Not Stated",1,1
"23",23,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Caledonian.",".","Community Location","Friday",12,"Dunedin City.","Not Stated",1,1
"24",24,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Porirua Central.",".","Community Location","Friday",16,"Porirua City.","Not Stated",1,1
"25",25,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Sumner.",".","Community Location","Friday",21,"Christchurch City.","Blunt Instrument N.E.C.",1,1
"26",26,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Waihi.",".","Community Location","Friday",8,"Hauraki District.","None",1,1
"27",27,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Mt Wellington Domain.",".","Community Location","Friday",13,"Auckland.","None",1,1
"28",28,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Marton.",".","Community Location","Friday",17,"Rangitikei District.","None",1,1
"29",29,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Mangere South.",".","Community Location","Friday",21,"Auckland.","None",1,1
"30",30,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Pokeno.",".","Community Location","Friday",12,"Waikato District.","Not Stated",1,1
"31",31,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Willis Street-Cambridge Terrace.",".","Community Location","Friday",18,"Wellington City.","Not Stated",1,1
"32",32,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Urewera.",".","Community Location","Friday",21,"Whakatane District.","Not Stated",1,1
"33",33,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Marton.",".","Community Location","Friday",11,"Rangitikei District.","Sharp N.F.D.",1,1
"34",34,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Avondale West.",".","Community Location","Monday",1,"Auckland.","None",1,1
"35",35,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Hamilton Central.",".","Community Location","Monday",9,"Hamilton City.","None",1,2
"36",36,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Onekawa South.",".","Community Location","Monday",11,"Napier City.","None",1,2
"37",37,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Cashmere West.",".","Community Location","Monday",12,"Christchurch City.","None",1,1
"38",38,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Mona Vale.",".","Community Location","Monday",14,"Christchurch City.","None",1,1
"39",39,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Greymouth South.",".","Community Location","Monday",15,"Grey District.","None",1,1
"40",40,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Kaiapoi South.",".","Community Location","Monday",15,"Waimakariri District.","None",1,1
"41",41,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","New Lynn South.",".","Community Location","Monday",16,"Auckland.","None",1,1
"42",42,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Blenheim Central.",".","Community Location","Monday",17,"Marlborough District.","None",1,1
"43",43,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Auckland Central East.",".","Community Location","Monday",18,"Auckland.","None",1,1
"44",44,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Balclutha.",".","Community Location","Monday",20,"Clutha District.","None",1,1
"45",45,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Westport Urban.",".","Community Location","Monday",22,"Buller District.","None",1,1
"46",46,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Gisborne Central.",".","Community Location","Monday",12,"Gisborne District.","Not Stated",1,1
