"","X","X.1","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Location"
"1",1,4,"1/2/17","Common Assault","Phillipstown.",2605400,"Christchurch City.","Canterbury"
"2",2,9,"1/2/17","Common Assault","Kohuora.",746313,"Auckland.","Auckland"
"3",3,14,"1/2/17","Common Assault","Williams Domain.",1691000,"Wanganui District.","West Coast/ Upper-Central North"
"4",4,19,"1/2/17","Common Assault","Onehunga South East.",602402,"Auckland.","Auckland"
"5",5,24,"1/2/17","Common Assault","Hamilton East.",892800,"Hamilton City.","Waikato"
"6",6,31,"1/2/17","Serious Assault Not Resulting in Injury","Henderson South.",243300,"Auckland.","Auckland"
"7",7,36,"1/2/17","Serious Assault Not Resulting in Injury","Appleby-Kew.",3113600,"Invercargill City.","Southland/ Otago"
"8",8,38,"1/2/17","Serious Assault Resulting in Injury","Highfield.",2787100,"Timaru District.","Canterbury"
"9",9,55,"1/3/17","Aggravated Sexual Assault","Papakura Central.",793000,"Auckland.","Auckland"
"10",10,60,"1/3/17","Aggravated Sexual Assault","Lake Alice.",1741100,"Rangitikei District.","West Coast/ Upper-Central North"
"11",11,65,"1/3/17","Aggravated Sexual Assault","New Lynn South.",269200,"Auckland.","Auckland"
"12",12,70,"1/3/17","Aggravated Sexual Assault","Hokitika Urban.",2425200,"Westland District.","Tasman/ South-West Coast"
"13",13,72,"1/3/17","Non-Aggravated Sexual Assault","St Kilda Central.",2949900,"Dunedin City.","Southland/ Otago"
"14",14,75,"1/3/17","Aggravated Sexual Assault","Te Pahu.",860300,"Waipa District.","Waikato"
"15",15,77,"1/3/17","Non-Aggravated Sexual Assault","Shirley East.",2596100,"Christchurch City.","Canterbury"
"16",16,83,"1/2/17","Serious Assault Resulting in Injury","Waverley.",1664100,"South Taranaki District.","West Coast/ Upper-Central North"
"17",17,89,"1/2/17","Common Assault","Doncaster.",1206830,"Tauranga City.","Bay Of Plenty"
"18",18,94,"1/2/17","Common Assault","Gisborne Central.",1368900,"Gisborne District.","Hawkes Bay/ Gisborne"
"19",19,99,"1/2/17","Common Assault","Porritt.",875000,"Hamilton City.","Waikato"
"20",20,104,"1/2/17","Common Assault","Takaro.",1826400,"Palmerston North City.","West Coast/ Upper-Central North"
"21",21,106,"1/2/17","Serious Assault Not Resulting in Injury","Kaitaia West.",15500,"Far North District.","Northland"
"22",22,111,"1/2/17","Serious Assault Not Resulting in Injury","Mangere South.",728805,"Auckland.","Auckland"
"23",23,118,"1/2/17","Serious Assault Resulting in Injury","Westown.",1575500,"New Plymouth District.","West Coast/ Upper-Central North"
"24",24,124,"1/2/17","Common Assault","Cathedral Square.",2653000,"Christchurch City.","Canterbury"
"25",25,129,"1/2/17","Common Assault","Auckland Central East.",438106,"Auckland.","Auckland"
"26",26,134,"1/2/17","Common Assault","Onekawa South.",1441800,"Napier City.","Hawkes Bay/ Gisborne"
"27",27,139,"1/2/17","Common Assault","Stuart St-Frederick St.",2901000,"Dunedin City.","Southland/ Otago"
"28",28,144,"1/2/17","Common Assault","Te Kauwhata.",938301,"Waikato District.","Waikato"
"29",29,149,"1/2/17","Common Assault","Royal Oak.",566300,"Auckland.","Auckland"
"30",30,154,"1/2/17","Common Assault","Struan Park.",1567600,"New Plymouth District.","West Coast/ Upper-Central North"
"31",31,159,"1/2/17","Common Assault","Tauranga Central.",1163900,"Tauranga City.","Bay Of Plenty"
"32",32,230,"1/3/17","Aggravated Sexual Assault","Akarana.",582700,"Auckland.","Auckland"
"33",33,235,"1/3/17","Aggravated Sexual Assault","Wanganui Collegiate.",1721302,"Wanganui District.","West Coast/ Upper-Central North"
"34",34,647,"1/7/17","Non-Aggravated Sexual Assault","Willis Street-Cambridge Terrace.",2135600,"Wellington City.","Wellington/ Lower-Central North"
"35",35,1166,"1/2/17","Serious Assault Not Resulting in Injury","Gonville West.",1718300,"Wanganui District.","West Coast/ Upper-Central North"
"36",36,1171,"1/2/17","Serious Assault Not Resulting in Injury","Otaki.",1881700,"Kapiti Coast District.","Wellington/ Lower-Central North"
"37",37,1173,"1/2/17","Serious Assault Resulting in Injury","Taupo Central.",1273300,"Taupo District.","Waikato"
"38",38,1178,"1/2/17","Serious Assault Resulting in Injury","Highbury.",1818900,"Palmerston North City.","West Coast/ Upper-Central North"
"39",39,1183,"1/2/17","Serious Assault Resulting in Injury","Beachlands-Maraetai.",719303,"Auckland.","Auckland"
"40",40,1184,"1/2/17","Common Assault","Cathedral Square.",2649300,"Christchurch City.","Canterbury"
"41",41,1189,"1/2/17","Common Assault","Onekawa West.",1426300,"Napier City.","Hawkes Bay/ Gisborne"
"42",42,1194,"1/2/17","Common Assault","Whakatane North.",1307200,"Whakatane District.","Bay Of Plenty"
"43",43,1199,"1/2/17","Common Assault","Kinloch.",1278304,"Taupo District.","Waikato"
"44",44,1204,"1/2/17","Common Assault","Cloustonville.",1915700,"Upper Hutt City.","Wellington/ Lower-Central North"
"45",45,1209,"1/2/17","Common Assault","Maoribank.",1913801,"Upper Hutt City.","Wellington/ Lower-Central North"
"46",46,1214,"1/2/17","Common Assault","Te Hapara.",1366400,"Gisborne District.","Hawkes Bay/ Gisborne"
"47",47,1221,"1/2/17","Serious Assault Not Resulting in Injury","Gisborne Central.",1369900,"Gisborne District.","Hawkes Bay/ Gisborne"
"48",48,1226,"1/2/17","Serious Assault Not Resulting in Injury","Dannemora.",711709,"Auckland.","Auckland"
"49",49,1233,"1/2/17","Serious Assault Resulting in Injury","Auckland Central East.",437702,"Auckland.","Auckland"
"50",50,1238,"1/2/17","Serious Assault Resulting in Injury","Waerenga.",935600,"Waikato District.","Waikato"
"51",51,1244,"1/2/17","Common Assault","Auckland Harbourside.",437903,"Auckland.","Auckland"
"52",52,1249,"1/2/17","Common Assault","South Dunedin.",2930600,"Dunedin City.","Southland/ Otago"
"53",53,1254,"1/2/17","Common Assault","Wiri.",780414,"Auckland.","Auckland"
"54",54,1259,"1/2/17","Common Assault","999999",-40,"Auckland.","Auckland"
"55",55,1264,"1/2/17","Common Assault","Auckland Harbourside.",438209,"Auckland.","Auckland"
"56",56,1271,"1/2/17","Serious Assault Not Resulting in Injury","Mangapapa.",1377100,"Gisborne District.","Hawkes Bay/ Gisborne"
"57",57,1278,"1/2/17","Serious Assault Resulting in Injury","Kaikohe.",42500,"Far North District.","Northland"
"58",58,1284,"1/2/17","Common Assault","Otahuhu West.",784400,"Auckland.","Auckland"
"59",59,1289,"1/2/17","Common Assault","Brockville.",2881600,"Dunedin City.","Southland/ Otago"
"60",60,1294,"1/2/17","Common Assault","Manukau Central.",781200,"Auckland.","Auckland"
"61",61,1299,"1/2/17","Common Assault","Meadowbank North.",460000,"Auckland.","Auckland"
"62",62,1304,"1/2/17","Common Assault","Browns Bay.",161200,"Auckland.","Auckland"
"63",63,1311,"1/2/17","Serious Assault Not Resulting in Injury","Heretaunga-Silverstream.",1902101,"Upper Hutt City.","Wellington/ Lower-Central North"
"64",64,1318,"1/2/17","Serious Assault Resulting in Injury","Marewa.",1435500,"Napier City.","Hawkes Bay/ Gisborne"
"65",65,1329,"1/2/17","Common Assault","Glenavon.",380900,"Auckland.","Auckland"
"66",66,2014,"1/2/17","Common Assault","Langbein.",2340900,"Nelson City.","Tasman/ South-West Coast"
"67",67,2016,"1/2/17","Serious Assault Not Resulting in Injury","Brockville.",2882100,"Dunedin City.","Southland/ Otago"
"68",68,2023,"1/2/17","Serious Assault Resulting in Injury","Parua Bay.",73601,"Whangarei District.","Northland"
"69",69,2036,"1/2/17","Serious Assault Not Resulting in Injury","Onekawa South.",1442000,"Napier City.","Hawkes Bay/ Gisborne"
"70",70,2045,"1/2/17","Aggravated Sexual Assault","Spring Creek-Grovetown.",2278505,"Marlborough District.","Tasman/ South-West Coast"
"71",71,2624,"1/4/17","Common Assault","Insoll.",874000,"Hamilton City.","Waikato"
"72",72,2629,"1/4/17","Common Assault","Motueka West.",2378900,"Tasman District.","Tasman/ South-West Coast"
"73",73,3414,"1/8/17","Common Assault","Manukau Central.",780204,"Auckland.","Auckland"
"74",74,3419,"1/8/17","Common Assault","Riccarton South.",2475400,"Christchurch City.","Canterbury"
"75",75,3824,"1/5/17","Common Assault","Cannons Creek North.",2046600,"Porirua City.","Wellington/ Lower-Central North"
"76",76,3831,"1/5/17","Serious Assault Not Resulting in Injury","Bexley.",2570400,"Christchurch City.","Canterbury"
"77",77,3839,"1/5/17","Common Assault","Three Kings.",560800,"Auckland.","Auckland"
"78",78,3841,"1/5/17","Serious Assault Not Resulting in Injury","Awapuni South.",1804300,"Palmerston North City.","West Coast/ Upper-Central North"
"79",79,3849,"1/5/17","Common Assault","High St-Stuart St.",2899900,"Dunedin City.","Southland/ Otago"
"80",80,3856,"1/5/17","Serious Assault Not Resulting in Injury","Gonville South.",1725900,"Wanganui District.","West Coast/ Upper-Central North"
"81",81,3861,"1/5/17","Serious Assault Not Resulting in Injury","Auckland Central West.",434000,"Auckland.","Auckland"
