"","Location","year","month","Number"
"1","Auckland","2017","02",33
"2","Auckland","2017","03",45
"3","Auckland","2017","04",38
"4","Auckland","2017","05",34
"5","Auckland","2017","06",25
"6","Auckland","2017","07",39
"7","Auckland","2017","08",43
"8","Auckland","2017","09",37
"9","Auckland","2017","10",32
"10","Auckland","2017","11",35
"11","Auckland","2017","12",39
"12","Auckland","2018","01",41
"13","Auckland","2018","02",31
"14","Auckland","2018","03",42
"15","Auckland","2018","04",31
"16","Auckland","2018","05",34
"17","Auckland","2018","06",30
"18","Auckland","2018","07",37
"19","Auckland","2018","08",41
"20","Auckland","2018","09",34
"21","Auckland","2018","10",41
"22","Auckland","2018","11",52
"23","Auckland","2018","12",51
"24","Auckland","2019","01",51
"25","Auckland","2019","02",40
"26","Auckland","2019","03",44
"27","Auckland","2019","04",39
"28","Auckland","2019","05",39
"29","Auckland","2019","06",30
"30","Auckland","2019","07",36
"31","Auckland","2019","08",40
"32","Auckland","2019","09",44
"33","Auckland","2019","10",29
"34","Auckland","2019","11",37
"35","Auckland","2019","12",43
"36","Bay Of Plenty","2017","02",5
"37","Bay Of Plenty","2017","03",10
"38","Bay Of Plenty","2017","04",8
"39","Bay Of Plenty","2017","05",10
"40","Bay Of Plenty","2017","06",7
"41","Bay Of Plenty","2017","07",12
"42","Bay Of Plenty","2017","08",10
"43","Bay Of Plenty","2017","09",5
"44","Bay Of Plenty","2017","10",12
"45","Bay Of Plenty","2017","11",7
"46","Bay Of Plenty","2017","12",7
"47","Bay Of Plenty","2018","01",10
"48","Bay Of Plenty","2018","02",5
"49","Bay Of Plenty","2018","03",12
"50","Bay Of Plenty","2018","04",9
"51","Bay Of Plenty","2018","05",14
"52","Bay Of Plenty","2018","06",11
"53","Bay Of Plenty","2018","07",13
"54","Bay Of Plenty","2018","08",6
"55","Bay Of Plenty","2018","09",16
"56","Bay Of Plenty","2018","10",10
"57","Bay Of Plenty","2018","11",15
"58","Bay Of Plenty","2018","12",17
"59","Bay Of Plenty","2019","01",10
"60","Bay Of Plenty","2019","02",13
"61","Bay Of Plenty","2019","03",9
"62","Bay Of Plenty","2019","04",7
"63","Bay Of Plenty","2019","05",17
"64","Bay Of Plenty","2019","06",10
"65","Bay Of Plenty","2019","07",10
"66","Bay Of Plenty","2019","08",16
"67","Bay Of Plenty","2019","09",8
"68","Bay Of Plenty","2019","10",12
"69","Bay Of Plenty","2019","11",15
"70","Bay Of Plenty","2019","12",16
"71","Canterbury","2017","02",16
"72","Canterbury","2017","03",17
"73","Canterbury","2017","04",12
"74","Canterbury","2017","05",14
"75","Canterbury","2017","06",13
"76","Canterbury","2017","07",10
"77","Canterbury","2017","08",17
"78","Canterbury","2017","09",11
"79","Canterbury","2017","10",14
"80","Canterbury","2017","11",23
"81","Canterbury","2017","12",13
"82","Canterbury","2018","01",14
"83","Canterbury","2018","02",12
"84","Canterbury","2018","03",19
"85","Canterbury","2018","04",12
"86","Canterbury","2018","05",9
"87","Canterbury","2018","06",18
"88","Canterbury","2018","07",10
"89","Canterbury","2018","08",13
"90","Canterbury","2018","09",19
"91","Canterbury","2018","10",19
"92","Canterbury","2018","11",15
"93","Canterbury","2018","12",19
"94","Canterbury","2019","01",16
