"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in"
81145628,"Movie","Norm of the North: King Sized Adventure","Richard Finn, Tim Maltby","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","United States, India, South Korea, China","September 9, 2019",2019,"TV-PG","90 min","Children & Family Movies, Comedies"
80117401,"Movie","Jandino: Whatever it Takes","","Jandino Asporaat","United Kingdom","September 9, 2016",2016,"TV-MA","94 min","Stand-Up Comedy"
70234439,"TV Show","Transformers Prime","","Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle","United States","September 8, 2018",2013,"TV-Y7-FV","1 Season","Kids' TV"
80058654,"TV Show","Transformers: Robots in Disguise","","Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen","United States","September 8, 2018",2016,"TV-Y7","1 Season","Kids' TV"
80125979,"Movie","#realityhigh","Fernando Lebrija","Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis","United States","September 8, 2017",2017,"TV-14","99 min","Comedies"
80163890,"TV Show","Apaches","","Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac","Spain","September 8, 2017",2016,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
70304989,"Movie","Automata","Gabe Ibáñez","Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall","Bulgaria, United States, Spain, Canada","September 8, 2017",2014,"R","110 min","International Movies, Sci-Fi & Fantasy, Thrillers"
80164077,"Movie","Fabrizio Copano: Solo pienso en mi","Rodrigo Toro, Francisco Schultz","Fabrizio Copano","Chile","September 8, 2017",2017,"TV-MA","60 min","Stand-Up Comedy"
80117902,"TV Show","Fire Chasers","","","United States","September 8, 2017",2017,"TV-MA","1 Season","Docuseries, Science & Nature TV"
70304990,"Movie","Good People","Henrik Ruben Genz","James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh","United States, United Kingdom, Denmark, Sweden","September 8, 2017",2014,"R","90 min","Action & Adventure, Thrillers"
80169755,"Movie","Joaquín Reyes: Una y no más","José Miguel Contreras","Joaquín Reyes","","September 8, 2017",2017,"TV-MA","78 min","Stand-Up Comedy"
70299204,"Movie","Kidnapping Mr. Heineken","Daniel Alfredson","Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Netherlands, Belgium, United Kingdom, United States","September 8, 2017",2015,"R","95 min","Action & Adventure, Dramas, International Movies"
80182480,"Movie","Krish Trish and Baltiboy","","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal","","September 8, 2017",2009,"TV-Y7","58 min","Children & Family Movies"
80182483,"Movie","Krish Trish and Baltiboy: Battle of Wits","Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra","","September 8, 2017",2013,"TV-Y7","62 min","Children & Family Movies"
