"type","title","director","date_added","release_year","rating","duration","listed_in"
NA,"Sammy & Co","","December 25, 2015",2014,"TV-G","1 Season","Kids' TV, TV Comedies"
"Movie","Como caído del cielo","Pepe Bojórquez","December 24, 2019",2019,"TV-14","117 min","Comedies, International Movies, Music & Musicals"
"Movie","John Mulaney & The Sack Lunch Bunch","Rhys Thomas","December 24, 2019",2019,"TV-PG","70 min","Children & Family Movies, Comedies"
NA,"Hi Score Girl","","December 24, 2018",2018,"TV-PG","1 Season","Anime Series, International TV Shows, Romantic TV Shows"
NA,"Stand Up and Away! with Brian Regan","","December 24, 2018",2018,"TV-14","1 Season","Stand-Up Comedy & Talk Shows, TV Comedies"
NA,"Way Back into Love","","December 24, 2018",2011,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Comedies"
NA,"Ninja Hattori","","December 23, 2018",1981,"TV-Y7","1 Season","Anime Series, Kids' TV"
"Movie","The Little Hours","Jeff Baena","December 23, 2018",2017,"R","89 min","Comedies, Independent Movies"
NA,"Watership Down","Noam Murro","December 23, 2018",2018,"TV-PG","1 Season","British TV Shows, International TV Shows, TV Action & Adventure"
"Movie","Creep 2","Patrick Brice","December 23, 2017",2017,"TV-MA","80 min","Horror Movies, Independent Movies, Thrillers"
NA,"Myths & Monsters","Daniel Kontur","December 23, 2017",2017,"TV-14","1 Season","British TV Shows, Docuseries"
"Movie","07:19","Jorge Michel Grau","December 23, 2016",2016,"TV-MA","93 min","Dramas, International Movies"
"Movie","Garfunkel and Oates: Trying to be Special","Riki Lindhome, Jeremy Konner","December 23, 2016",2016,"TV-MA","62 min","Music & Musicals, Stand-Up Comedy"
"Movie","Lo and Behold: Reveries of the Connected World","Werner Herzog","December 23, 2016",2016,"PG-13","98 min","Documentaries"
"Movie","Jacob's Ladder","David M. Rosenthal","December 22, 2019",2019,"R","90 min","Thrillers"
NA,"Demon's Path","","December 22, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas"
"Movie","I Am Vengeance","Ross Boyask","December 22, 2018",2018,"R","93 min","Action & Adventure"
"Movie","Mr. Church","Bruce Beresford","December 22, 2018",2016,"PG-13","105 min","Dramas"
NA,"Single Ladies Senior","","December 22, 2018",2018,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas"
NA,"72 Dangerous Animals: Latin America","","December 22, 2017",2017,"TV-14","1 Season","Docuseries, International TV Shows, Science & Nature TV"
"Movie","Bright","David Ayer","December 22, 2017",2017,"TV-MA","118 min","Action & Adventure, Sci-Fi & Fantasy"
"Movie","Madness in the Desert","Satyajit Bhatkal","December 22, 2017",2004,"TV-PG","141 min","Documentaries, International Movies"
"Movie","Back of the Net","Louise Alston","December 21, 2019",2019,"TV-G","86 min","Children & Family Movies, Sports Movies"
"Movie","Lost in London","Sunkanmi Adebayo","December 21, 2019",2017,"TV-14","86 min","Comedies, International Movies"
NA,"7 Days Out","","December 21, 2018",2018,"TV-PG","1 Season","Docuseries"
"Movie","Bad Seeds","Kheiron","December 21, 2018",2018,"TV-MA","105 min","Comedies, Dramas, International Movies"
"Movie","Bird Box","Susanne Bier","December 21, 2018",2018,"R","124 min","Dramas, Sci-Fi & Fantasy, Thrillers"
NA,"Diablero","","December 21, 2018",2018,"TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
NA,"Jojo's World","","December 21, 2018",2017,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies"
NA,"Lion Pride","","December 21, 2018",2017,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies"
NA,"Love @ Seventeen","","December 21, 2018",2016,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas"
NA,"Perfume","","December 21, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas"
NA,"Sirius the Jaeger","","December 21, 2018",2018,"TV-MA","1 Season","Anime Series, International TV Shows, TV Thrillers"
"Movie","Struggle: The Life and Lost Art of Szukalski","Irek Dobrowolski","December 21, 2018",2018,"TV-MA","105 min","Documentaries"
"Movie","The Last Hangover","Rodrigo Van Der Put","December 21, 2018",2018,"TV-MA","44 min","Comedies, International Movies"
"Movie","What Still Remains","Josh Mendoza","December 21, 2018",2018,"TV-14","91 min","Dramas, Thrillers"
NA,"Wolf","","December 21, 2018",2018,"TV-MA","1 Season","International TV Shows, TV Action & Adventure, TV Dramas"
"Movie","Desire","Diego Kaplan","December 21, 2017",2017,"TV-MA","94 min","Dramas, International Movies, Romantic Movies"
"Movie","Figures of Speech","Ari Levinson","December 21, 2016",2016,"TV-PG","92 min","Documentaries"
"Movie","Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home","George Ford","December 21, 2015",2015,"","60 min","Movies"
"Movie","Fireplace 4K: Crackling Birchwood from Fireplace for Your Home","George Ford","December 21, 2015",2015,"","60 min","Movies"
NA,"Agent","","December 20, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Dramas"
