iter	Logloss
0	0.6709109295
1	0.6524658853
2	0.6325787381
3	0.6159742832
4	0.5984899027
5	0.5819685766
6	0.5649468862
7	0.5493539486
8	0.5343130341
9	0.5212248613
10	0.5075041951
11	0.4958469513
12	0.4843743496
13	0.4730822913
14	0.4619198783
15	0.4509494153
16	0.4416012025
17	0.4333793032
18	0.4258972816
19	0.4177104416
20	0.4099629673
21	0.4015514083
22	0.3932288101
23	0.3871815595
24	0.3801220164
25	0.3735278306
26	0.3678116813
27	0.3622062782
28	0.3569442007
29	0.3514039425
30	0.3460349097
31	0.3402468249
32	0.3351229231
33	0.3303385529
34	0.3250216503
35	0.320828917
36	0.3168113998
37	0.3130348037
38	0.3097539141
39	0.3066514835
40	0.3034088369
41	0.2999394807
42	0.2967777054
43	0.294089366
44	0.2916327236
45	0.2885700173
46	0.2858394148
47	0.282879952
48	0.2806619468
49	0.2780781037
50	0.2757817212
51	0.2735836304
52	0.2715673139
53	0.2697348216
54	0.2679239779
55	0.2658025393
56	0.264095258
57	0.2619495788
58	0.2599992652
59	0.2582278084
60	0.2564701594
61	0.2549145703
62	0.2533446222
63	0.2519621256
64	0.2506014318
65	0.2490422114
66	0.2478817301
67	0.2463175189
68	0.2450610233
69	0.2437245898
70	0.242672065
71	0.2416223122
72	0.240296241
73	0.2390411763
74	0.2380941769
75	0.2372538763
76	0.2361657253
77	0.2350691607
78	0.2342755545
79	0.2335671701
80	0.232624917
81	0.2317689871
82	0.2307086616
83	0.229620877
84	0.2288669533
85	0.2281104318
86	0.2272329009
87	0.2266846327
88	0.2258348145
89	0.2248143709
90	0.223960698
91	0.22312971
92	0.2223997728
93	0.2218642498
94	0.221100169
95	0.2204845697
96	0.2199510094
97	0.2193584214
98	0.2189522438
99	0.2184421812
100	0.2178487186
101	0.2171028587
102	0.2166663693
103	0.2160343859
104	0.215553368
105	0.2149350566
106	0.2143342395
107	0.2139397843
108	0.2134024084
109	0.2128923944
110	0.2124234984
111	0.2118877626
112	0.2113153879
113	0.2109488256
114	0.2105795996
115	0.2098583755
116	0.2093086886
117	0.2088542099
118	0.2083165458
119	0.2078971569
120	0.2075033356
121	0.2070276043
122	0.2065447022
123	0.2061258954
124	0.2056942885
125	0.2053676961
126	0.2050163379
127	0.204554303
128	0.204149736
129	0.2036292721
130	0.2032726261
131	0.2029970468
132	0.2026517604
133	0.2021694433
134	0.2018907454
135	0.2013646317
136	0.2010526643
137	0.200560463
138	0.2000579206
139	0.1996937367
140	0.1993202336
141	0.199069238
142	0.1985610216
143	0.198144061
144	0.1979095499
145	0.1975898218
146	0.1971560119
147	0.1968794684
148	0.1965503675
149	0.1962012558
150	0.1956643426
151	0.195336626
152	0.1949961223
153	0.1946738575
154	0.1943927312
155	0.1940826967
156	0.1937076722
157	0.1933740384
158	0.1929870443
159	0.1926740809
160	0.1922893265
161	0.1920194248
162	0.1917470212
163	0.1914832002
164	0.1912264507
165	0.1910174918
166	0.1906010433
167	0.1903898857
168	0.1900735729
169	0.1896678863
170	0.1894218527
171	0.1891329104
172	0.188852178
173	0.1885871752
174	0.1883997777
175	0.1880301393
176	0.1876252459
177	0.1873868957
178	0.187091566
179	0.1868765671
180	0.1866365995
181	0.1863818785
182	0.1861141478
183	0.1856993823
184	0.1853598616
185	0.1850614222
186	0.1847003166
187	0.1844795262
188	0.1841659175
189	0.1839121171
190	0.1836317081
191	0.183331245
192	0.1830040326
193	0.18277121
194	0.1825351846
195	0.1823030467
196	0.1821107204
197	0.1818487773
198	0.1814823583
199	0.181211989
200	0.1810127451
201	0.1807409334
202	0.1804564509
203	0.1801868583
204	0.1797713485
205	0.1796295312
206	0.1794422558
207	0.1791957854
208	0.1789497546
209	0.178732762
210	0.178544248
211	0.1782515306
212	0.1780190786
213	0.1777901437
214	0.1776147475
215	0.1773514345
216	0.1770942157
217	0.1768839329
218	0.1766746065
219	0.176467995
220	0.176230927
221	0.1759721674
222	0.1757172002
223	0.1755495484
224	0.1752140726
225	0.1749755279
226	0.1747677213
227	0.1744631728
228	0.1742351168
229	0.1740238879
230	0.1739182246
231	0.1736160554
232	0.1734810362
233	0.1732215097
234	0.1730348968
235	0.1728683682
236	0.1726137319
237	0.1723170611
238	0.1721370489
239	0.1719892971
240	0.1717946717
241	0.1715671601
242	0.1713918434
243	0.1710986787
244	0.1709050719
245	0.1705991878
246	0.1703633859
247	0.170194874
248	0.169965616
249	0.1698421534
250	0.1696371114
251	0.1694822109
252	0.1693450529
253	0.1692247397
254	0.169044355
255	0.1688116682
256	0.1685612124
257	0.1683149098
258	0.1680649364
259	0.1678656692
260	0.1676221681
261	0.1673147612
262	0.1670447509
263	0.1667606392
264	0.1665209159
265	0.1662063263
266	0.166055467
267	0.1658438854
268	0.1657027245
269	0.1655315011
270	0.1653826843
271	0.1651576861
272	0.1650037989
273	0.1647867007
274	0.164543498
275	0.1643040208
276	0.1641539539
277	0.1639152736
278	0.163610003
279	0.1634220704
280	0.1632533642
281	0.1631244911
282	0.1628789955
283	0.1626612442
284	0.1624617742
285	0.1622641735
286	0.1620195885
287	0.1618405569
288	0.1617285841
289	0.1616165549
290	0.1614191257
291	0.1612969676
292	0.1611475231
293	0.1609904203
294	0.1607564465
295	0.1605872038
296	0.1603135659
297	0.1601521132
298	0.1599168762
299	0.1597414457
300	0.1595605525
301	0.1594175456
302	0.1592370133
303	0.1590240554
304	0.1588796327
305	0.158747717
306	0.1586073549
307	0.1585319107
308	0.1582934589
309	0.158058118
310	0.1578641954
311	0.1576633033
312	0.1574683757
313	0.1573322254
314	0.1571917218
315	0.1570243102
316	0.1568397352
317	0.1566934671
318	0.1565807895
319	0.1564092729
320	0.1562185754
321	0.1560039448
322	0.15580402
323	0.1556394796
324	0.1554676333
325	0.1553400093
326	0.1551856118
327	0.1549774126
328	0.1547778701
329	0.1545153552
330	0.1543400425
331	0.1541150912
332	0.1539080646
333	0.1537860311
334	0.1536711538
335	0.1534380132
336	0.1532179981
337	0.1531086292
338	0.1528871638
339	0.1526205231
340	0.1524949104
341	0.1523106868
342	0.1521720275
343	0.151957834
344	0.1516648706
345	0.1515197884
346	0.1512281921
347	0.1510213371
348	0.1508431582
349	0.1507472237
350	0.1506434551
351	0.1504672278
352	0.1503514168
353	0.1502030614
354	0.1500881882
355	0.1498950815
356	0.149738647
357	0.149611912
358	0.1495078266
359	0.1493897451
360	0.1492328323
361	0.1490759029
362	0.1489726493
363	0.1488429841
364	0.1486576224
365	0.1483620753
366	0.1482750631
367	0.1481604763
368	0.1480216303
369	0.1478519425
370	0.147791069
371	0.1476914987
372	0.1475729902
373	0.1473915576
374	0.1472389682
375	0.1470806411
376	0.1469056276
377	0.1467953581
378	0.1466504904
379	0.1465357365
380	0.1464686409
381	0.1463182001
382	0.1461861274
383	0.1460269813
384	0.1458947138
385	0.1457113066
386	0.1455732994
387	0.145350221
388	0.1451819965
389	0.1450719808
390	0.1449886649
391	0.1448547893
392	0.1446846087
393	0.1445641995
394	0.1444753675
395	0.1442578059
396	0.144136113
397	0.144001064
398	0.1438902919
399	0.1438042733
400	0.1436783708
401	0.1434852561
402	0.1433451545
403	0.1432030822
404	0.1429525042
405	0.1427835383
406	0.1426875242
407	0.1425650668
408	0.1424354179
409	0.1423334516
410	0.1421653801
411	0.1420270875
412	0.1419276039
413	0.1418004225
414	0.1416781661
415	0.1414751229
416	0.1412014018
417	0.1410140707
