iter	Passed	Remaining
0	26	26410
1	54	27360
2	82	27572
3	111	27710
4	138	27565
5	166	27542
6	195	27681
7	223	27709
8	251	27712
9	279	27651
10	306	27568
11	334	27546
12	362	27500
13	390	27487
14	417	27436
15	445	27382
16	472	27335
17	500	27282
18	527	27242
19	554	27190
20	582	27158
21	610	27131
22	637	27090
23	666	27107
24	693	27056
25	721	27033
26	748	26987
27	776	26967
28	804	26944
29	832	26922
30	860	26904
31	888	26868
32	915	26834
33	943	26797
34	971	26784
35	998	26745
36	1026	26723
37	1054	26696
38	1082	26664
39	1109	26637
40	1138	26641
41	1167	26630
42	1195	26605
43	1223	26574
44	1250	26544
45	1278	26504
46	1307	26503
47	1335	26488
48	1363	26460
49	1390	26428
50	1418	26394
51	1446	26367
52	1473	26334
53	1501	26299
54	1528	26264
55	1556	26235
56	1584	26211
57	1612	26190
58	1640	26163
59	1667	26127
60	1694	26090
61	1722	26052
62	1750	26028
63	1777	25995
64	1804	25962
65	1832	25926
66	1859	25900
67	1887	25871
68	1915	25842
69	1942	25810
70	1970	25778
71	1997	25751
72	2025	25724
73	2053	25698
74	2081	25670
75	2109	25644
76	2137	25617
77	2164	25586
78	2192	25559
79	2220	25531
80	2248	25505
81	2275	25474
82	2303	25446
83	2331	25425
84	2359	25397
85	2386	25366
86	2414	25340
87	2442	25312
88	2470	25291
89	2499	25268
90	2526	25236
91	2554	25209
92	2582	25183
93	2610	25159
94	2638	25139
95	2667	25116
96	2695	25097
97	2724	25075
98	2753	25055
99	2781	25033
100	2809	25010
101	2838	24988
102	2866	24964
103	2895	24941
104	2923	24920
105	2951	24890
106	2980	24872
107	3009	24853
108	3037	24829
109	3065	24805
110	3093	24779
111	3122	24757
112	3152	24749
113	3182	24731
114	3210	24706
115	3238	24681
116	3267	24656
117	3295	24630
118	3323	24603
119	3351	24580
120	3380	24559
121	3408	24530
122	3436	24504
123	3464	24477
124	3492	24449
125	3520	24422
126	3548	24395
127	3577	24370
128	3605	24347
129	3634	24326
130	3663	24300
131	3691	24273
132	3719	24247
133	3748	24225
134	3777	24205
135	3806	24183
136	3834	24154
137	3862	24129
138	3891	24103
139	3919	24078
140	3948	24052
141	3976	24028
142	4004	24001
143	4033	23977
144	4061	23950
145	4091	23930
146	4120	23908
147	4148	23884
148	4177	23861
149	4207	23844
150	4237	23822
151	4266	23799
152	4296	23786
153	4326	23765
154	4355	23742
155	4384	23719
156	4413	23696
157	4442	23672
158	4471	23649
159	4499	23624
160	4528	23599
161	4557	23577
162	4587	23555
163	4616	23531
164	4644	23505
165	4674	23483
166	4702	23458
167	4732	23436
168	4761	23411
169	4789	23386
170	4819	23363
171	4848	23339
172	4877	23317
173	4907	23294
174	4936	23269
175	4965	23246
176	4994	23223
177	5025	23208
178	5059	23206
179	5089	23187
180	5119	23164
181	5148	23140
182	5177	23116
183	5208	23098
184	5238	23077
185	5267	23052
186	5296	23026
187	5324	22998
188	5353	22971
189	5381	22944
190	5410	22917
191	5439	22889
192	5468	22865
193	5496	22837
194	5526	22813
195	5555	22789
196	5585	22766
197	5614	22740
198	5643	22715
199	5672	22688
200	5700	22661
201	5729	22634
202	5758	22610
203	5788	22584
204	5817	22559
205	5846	22533
206	5875	22508
207	5904	22481
208	5933	22457
209	5962	22431
210	5992	22406
211	6021	22381
212	6050	22355
213	6079	22328
214	6108	22301
215	6136	22274
216	6165	22246
217	6194	22219
218	6223	22192
219	6254	22175
220	6283	22149
221	6312	22122
222	6341	22094
223	6370	22069
224	6399	22041
225	6427	22014
226	6457	21988
227	6485	21960
228	6514	21933
229	6543	21907
230	6572	21881
231	6601	21853
232	6630	21828
233	6660	21802
234	6688	21774
235	6717	21745
236	6746	21718
237	6774	21690
238	6803	21663
239	6832	21637
240	6861	21610
241	6891	21584
242	6920	21557
243	6950	21533
244	6979	21508
245	7008	21480
246	7037	21453
247	7066	21426
248	7095	21400
249	7124	21372
250	7153	21345
251	7182	21318
252	7211	21291
253	7242	21272
254	7272	21247
255	7301	21219
256	7330	21193
257	7359	21165
258	7388	21137
259	7417	21111
260	7446	21083
261	7475	21055
262	7503	21028
263	7533	21001
264	7562	20974
265	7590	20945
266	7619	20917
267	7648	20889
268	7677	20862
269	7705	20834
270	7734	20806
271	7763	20778
272	7792	20750
273	7820	20722
274	7850	20696
275	7878	20667
276	7908	20641
277	7937	20614
278	7966	20587
279	7995	20559
280	8024	20532
281	8053	20506
282	8083	20479
283	8111	20451
284	8140	20422
285	8169	20394
286	8198	20366
287	8228	20343
288	8259	20318
289	8288	20292
290	8316	20263
291	8345	20235
292	8374	20208
293	8403	20179
294	8432	20151
295	8460	20123
296	8489	20095
297	8518	20067
298	8547	20040
299	8577	20013
300	8605	19985
301	8634	19957
302	8663	19929
303	8692	19902
304	8721	19874
305	8751	19847
306	8780	19819
307	8808	19791
308	8837	19763
309	8867	19736
310	8896	19708
311	8924	19680
312	8954	19653
313	8983	19625
314	9011	19597
315	9040	19569
316	9069	19540
317	9098	19512
318	9129	19488
319	9158	19462
320	9187	19434
321	9216	19405
322	9244	19376
323	9272	19346
324	9301	19317
325	9329	19287
326	9357	19257
327	9385	19228
328	9413	19198
329	9441	19168
330	9469	19138
331	9497	19109
332	9526	19080
333	9554	19051
334	9582	19021
335	9610	18991
336	9638	18962
337	9666	18932
338	9694	18903
339	9722	18873
340	9750	18842
341	9778	18813
342	9806	18784
343	9834	18754
344	9862	18725
345	9891	18696
346	9919	18667
347	9948	18638
348	9976	18609
349	10004	18580
350	10033	18551
351	10061	18522
352	10090	18493
353	10118	18464
354	10148	18438
355	10176	18409
356	10205	18381
357	10233	18351
358	10261	18322
359	10289	18293
360	10318	18263
361	10346	18234
362	10373	18204
363	10402	18175
364	10430	18145
365	10458	18116
366	10486	18086
367	10513	18056
368	10541	18026
369	10569	17997
370	10598	17968
371	10625	17938
372	10654	17909
373	10682	17881
374	10711	17852
375	10739	17823
376	10767	17794
377	10795	17764
378	10824	17735
379	10852	17706
380	10880	17676
381	10908	17647
382	10936	17618
383	10965	17589
384	10993	17560
385	11021	17532
386	11050	17503
387	11079	17475
388	11107	17446
389	11135	17417
390	11164	17388
391	11192	17359
392	11220	17330
393	11249	17301
394	11279	17276
395	11308	17248
396	11337	17219
397	11365	17190
398	11393	17160
399	11421	17131
400	11449	17102
401	11477	17073
402	11506	17045
403	11534	17016
404	11562	16986
405	11590	16958
406	11619	16929
407	11647	16899
408	11675	16871
409	11703	16841
410	11731	16812
411	11759	16783
412	11787	16753
413	11815	16723
414	11843	16694
415	11871	16665
416	11899	16636
417	11928	16608
418	11956	16578
419	11984	16549
420	12012	16520
421	12040	16491
422	12068	16462
423	12096	16432
424	12124	16403
425	12152	16373
